timestamp,city,urban_temp,rural_temp,humidity,wind_speed,clouds,uhi_intensity,severity_label
2026-02-08 12:13:47,Mumbai,30.98,29.95,35,4.63,1,1.03,1
2026-02-08 12:13:48,Chennai,26.72,26.83,72,4.12,20,-0.11,0
2026-02-08 12:13:50,Bengaluru,27.29,27.04,36,3.6,33,0.25,0
2026-02-08 12:13:52,Delhi,21.06,20.82,40,4.12,61,0.24,0
2026-02-08 12:13:54,Ahmedabad,30.02,30.05,19,1.54,0,-0.03,0
2026-02-08 12:13:56,Hyderabad,28.15,28.35,24,4.12,4,-0.2,0
2026-02-08 12:13:57,Kolkata,23.96,23.88,41,3.09,0,0.08,0
2026-02-08 12:13:59,Jaipur,25.68,25.49,22,2.57,7,0.19,0
2026-02-08 12:14:01,Lucknow,22.05,21.98,49,3.09,22,0.07,0
2026-02-08 12:14:03,Pune,30,28.04,30,3.99,0,1.96,1
2026-02-08 12:14:04,Bhopal,24.18,24.17,35,2.57,0,0.01,0
2026-02-08 12:14:06,Nagpur,27,27.21,34,1.03,0,-0.21,0
2026-02-08 12:46:21,Mumbai,29.98,26.94,35,4.12,0,3.04,2
2026-02-08 12:46:23,Chennai,26.71,26.97,71,4.12,20,-0.26,0
2026-02-08 12:46:25,Bengaluru,26.79,26.59,38,4.12,10,0.2,0
2026-02-08 12:46:27,Delhi,19.06,18.47,45,3.09,8,0.59,0
2026-02-08 12:46:29,Ahmedabad,28.02,28.05,23,1.03,0,-0.03,0
2026-02-08 12:46:30,Hyderabad,27.15,24.88,29,3.09,0,2.27,1
2026-02-08 12:46:32,Kolkata,23.96,22.45,43,2.57,0,1.51,1
2026-02-08 12:46:34,Jaipur,24.68,24.49,23,1.54,0,0.19,0
2026-02-08 12:46:36,Lucknow,20.05,19.98,56,2.57,0,0.07,0
2026-02-08 12:46:38,Pune,28.89,23.66,10,4.05,0,5.23,3
2026-02-08 12:46:39,Bhopal,23.18,23.17,38,1.54,0,0.01,0
2026-02-08 12:46:41,Nagpur,26,23.8,36,1.03,0,2.2,1
2026-02-08 13:14:02,Mumbai,29.98,26.94,35,4.12,0,3.04,2
2026-02-08 13:14:03,Chennai,26.42,25.91,73,3.6,20,0.51,0
2026-02-08 13:14:05,Bengaluru,26.14,25.67,39,2.95,10,0.47,0
2026-02-08 13:14:07,Delhi,18.06,18.47,52,2.06,20,-0.41,0
2026-02-08 13:14:08,Ahmedabad,28.02,28.05,23,1.03,0,-0.03,0
2026-02-08 13:14:10,Hyderabad,26.15,24.88,31,4.12,0,1.27,1
2026-02-08 13:14:12,Kolkata,23.96,22.45,43,2.06,0,1.51,1
2026-02-08 13:14:14,Jaipur,22.68,22.49,27,1.54,0,0.19,0
2026-02-08 13:14:15,Lucknow,20.05,19.98,56,2.57,0,0.07,0
2026-02-08 13:14:17,Pune,27.78,23.66,23,4.05,0,4.12,2
2026-02-08 13:14:19,Bhopal,23.18,23.17,38,1.54,0,0.01,0
2026-02-08 13:14:20,Nagpur,25,23.8,38,1.03,0,1.2,1
2026-02-08 13:56:40,Mumbai,28.98,26.55,45,2.57,0,2.43,1
2026-02-08 13:56:41,Chennai,26.11,25.98,74,3.09,20,0.13,0
2026-02-08 13:56:43,Bengaluru,25.46,25.26,42,3.09,10,0.2,0
2026-02-08 13:56:45,Delhi,17.06,17.09,55,1.54,20,-0.03,0
2026-02-08 13:56:46,Ahmedabad,26.02,26.05,25,2.57,0,-0.03,0
2026-02-08 13:56:48,Hyderabad,26.15,23.59,31,4.12,0,2.56,2
2026-02-08 13:56:50,Kolkata,22.96,21.41,46,1.54,0,1.55,1
2026-02-08 13:56:51,Jaipur,22.68,22.49,28,1.54,0,0.19,0
2026-02-08 13:56:53,Lucknow,19.05,18.98,59,1.54,0,0.07,0
2026-02-08 13:56:54,Pune,26.11,21.68,99,2.87,0,4.43,2
2026-02-08 13:56:56,Bhopal,21.18,21.17,46,2.06,0,0.01,0
2026-02-08 13:56:58,Nagpur,25,22.99,38,1.03,0,2.01,1
